,searchTerm,countryCode
2,Exxon Mobil,US
3,Berkshire Hathaway,US
4,Apple,US
5,UnitedHealth Group,US
6,McKesson,US
7,CVS Health,US
8,Amazon.com,US
9,AT&T,US
10,General Motors,US
11,Ford Motor,US
12,AmerisourceBergen,US
13,Chevron,US
14,Cardinal Health,US
15,Costco,US
16,Verizon,US
17,Kroger,US
18,General Electric,US
19,Walgreens Boots Alliance,US
20,JPMorgan Chase,US
21,Fannie Mae,US
22,Alphabet,US
23,Home Depot,US
24,Bank of America Corp.,US
25,Express Scripts Holding,US
26,Wells Fargo,US
27,Boeing,US
28,Phillips 66,US
29,Anthem,US
30,Microsoft,US
31,Valero Energy,US
32,Citigroup,US
33,Comcast,US
34,IBM,US
35,Dell Technologies,US
36,State Farm Insurance Cos.,US
37,Johnson & Johnson,US
38,Freddie Mac,US
39,Target,US
40,Lowes,US
41,Marathon Petroleum,US
42,Procter & Gamble,US
43,MetLife,US
44,UPS,US
45,PepsiCo,US
46,Intel,US
47,DowDuPont,US
48,Archer Daniels Midland,US
49,Aetna,US
50,FedEx,US
51,United Technologies,US
52,Prudential Financial,US
53,Albertsons Cos.,US
54,Sysco,US
55,Disney,US
56,Humana,US
57,Pfizer,US
58,HP,US
59,Lockheed Martin,US
60,AIG,US
61,Centene,US
62,Cisco Systems,US
63,HCA Healthcare,US
64,Energy Transfer Equity,US
65,Caterpillar,US
66,Nationwide,US
67,Morgan Stanley,US
68,Liberty Mutual Insurance Group,US
69,New York Life Insurance,US
70,Goldman Sachs Group,US
71,American Airlines Group,US
72,Best Buy,US
73,Cigna,US
74,Charter Communications,US
75,Delta Air Lines,US
76,Facebook,US
77,Honeywell International,US
78,Merck,US
79,Allstate,US
80,Tyson Foods,US
81,United Continental Holdings,US
82,Oracle,US
83,Tech Data,US
84,TIAA,US
85,TJX,US
86,American Express,US
87,Coca-Cola,US
88,Publix Super Markets,US
89,Nike,US
90,Andeavor,US
91,World Fuel Services,US
92,Exelon,US
93,Massachusetts Mutual Life Insurance,US
94,Rite Aid,US
95,ConocoPhillips,US
96,CHS,US
97,3M,US
98,Time Warner,US
99,General Dynamics,US
100,USAA,US
101,Capital One Financial,US
102,Deere,US
103,INTL FCStone,US
104,Northwestern Mutual,US
105,Enterprise Products Partners,US
106,Travelers Cos.,US
107,Hewlett Packard Enterprise,US
108,Philip Morris International,US
109,Twenty-First Century Fox,US
110,AbbVie,US
111,Abbott Laboratories,US
112,Progressive,US
113,Arrow Electronics,US
114,Kraft Heinz,US
115,Plains GP Holdings,US
116,Gilead Sciences,US
117,Mondelez International,US
118,Northrop Grumman,US
119,Raytheon,US
120,Macys,US
121,US Foods Holding,US
122,U.S. Bancorp,US
123,Dollar General,US
124,International Paper,US
125,Duke Energy,US
126,Southern,US
127,Marriott International,US
128,Avnet,US
129,Eli Lilly,US
130,Amgen,US
131,McDonalds,US
132,Starbucks,US
133,Qualcomm,US
134,Dollar Tree,US
135,PBF Energy,US
136,Icahn Enterprises,US
137,Aflac,US
138,AutoNation,US
139,Penske Automotive Group,US
140,Whirlpool,US
141,Union Pacific,US
142,Southwest Airlines,US
143,ManpowerGroup,US
144,Thermo Fisher Scientific,US
145,Bristol-Myers Squibb,US
146,Halliburton,US
147,Tenet Healthcare,US
148,Lear,US
149,Cummins,US
150,Micron Technology,US
151,Nucor,US
152,Molina Healthcare,US
153,Fluor,US
154,Altria Group,US
155,Paccar,US
156,Hartford Financial Services,US
157,Kohls,US
158,Western Digital,US
159,Jabil,US
160,Community Health Systems,US
161,Visa,US
162,Danaher,US
163,Kimberly-Clark,US
164,AECOM,US
165,PNC Financial Services,US
166,CenturyLink,US
167,NextEra Energy,US
168,PG&E Corp.,US
169,Synnex,US
170,WellCare Health Plans,US
171,Performance Food Group,US
172,Sears Holdings,US
173,Synchrony Financial,US
174,CarMax,US
175,Bank of New York Mellon,US
176,Freeport-McMoRan,US
177,Genuine Parts,US
178,Emerson Electric,US
179,DaVita,US
180,Supervalu,US
181,Gap,US
182,General Mills,US
183,Nordstrom,US
184,Colgate-Palmolive,US
185,American Electric Power,US
186,XPO Logistics,US
187,Goodyear Tire & Rubber,US
188,Omnicom Group,US
189,CDW,US
190,Sherwin-Williams,US
191,PPG Industries,US
192,Texas Instruments,US
193,C.H. Robinson Worldwide,US
194,WestRock,US
195,Cognizant Technology Solutions,US
196,Newell Brands,US
197,CBS,US
198,Envision Healthcare,US
199,Monsanto,US
200,Aramark,US
201,Applied Materials,US
202,Waste Management,US
203,DISH Network,US
204,Illinois Tool Works,US
205,Lincoln National,US
206,HollyFrontier,US
207,CBRE Group,US
208,Textron,US
209,Ross Stores,US
210,Principal Financial,US
211,D.R. Horton,US
212,Marsh & McLennan,US
213,Devon Energy,US
214,AES,US
215,Ecolab,US
216,Land O Lakes,US
217,Loews,US
218,Kinder Morgan,US
219,FirstEnergy,US
220,Occidental Petroleum,US
221,Viacom,US
222,PayPal Holdings,US
223,NGL Energy Partners,US
224,Celgene,US
225,Arconic,US
226,Kellogg,US
227,Las Vegas Sands,US
228,Stanley Black & Decker,US
229,Booking Holdings,US
230,Lennar,US
231,L Brands,US
232,DTE Energy,US
233,Dominion Energy,US
234,Reinsurance Group of America,US
235,J.C. Penney,US
236,Mastercard,US
237,BlackRock,US
238,Henry Schein,US
239,Guardian Life Ins. Co. of America,US
240,Stryker,US
241,Jefferies Financial Group,US
242,VF,US
243,ADP,US
244,Edison International,US
245,Biogen,US
246,United States Steel,US
247,Core-Mark Holding,US
248,Bed Bath & Beyond,US
249,Oneok,US
250,BB&T Corp.,US
251,Becton Dickinson,US
252,Ameriprise Financial,US
253,Farmers Insurance Exchange,US
254,First Data,US
255,Consolidated Edison,US
256,Parker-Hannifin,US
257,Anadarko Petroleum,US
258,Estee Lauder,US
259,State Street Corp.,US
260,Tesla,US
261,Netflix,US
262,Alcoa,US
263,Discover Financial Services,US
264,Praxair,US
265,CSX,US
266,Xcel Energy,US
267,Unum Group,US
268,Universal Health Services,US
269,NRG Energy,US
